chave,explicacao
casa branca | apartamento | 2,"Segmento: casa branca|apartamento|2 (nível avaliado: bairro×tipo×quartos)
Status: prioritaria
R = 0.00054 — razão entre a mediana da diária anunciada no Airbnb e a mediana dos preços de venda observados no VivaReal para o mesmo segmento (indicador COMPARATIVO de segmento; não estima retorno de imóvel individual).
IC95(R) = [0.00042, 0.00063] | half = 0.195
Observações utilizadas: n_ai (Airbnb com preço) = 11, n_vi_total = 19, n_vi_com_sale_price = 19 (usados na estimativa).
Cobertura do Price no segmento: 20.8% (métrica de representatividade; seleção de Price é limitação).
Dominância contra outros segmentos (Δ com FDR controlado, Δ_min = 25%): domina 8 segmento(s) — centro|apartamento|3; centro|apartamento|4+; meia praia|apartamento|3; meia praia|apartamento|4+; meia praia|casa|3
Limitações: preço anunciado (não receita/ocupação); janela jan–abr/2025; junção Airbnb×VivaReal agregada; sem correspondência individual."
centro | apartamento | 1,"Segmento: centro|apartamento|1 (nível avaliado: bairro×tipo×quartos)
Status: prioritaria
R = 0.00050 — razão entre a mediana da diária anunciada no Airbnb e a mediana dos preços de venda observados no VivaReal para o mesmo segmento (indicador COMPARATIVO de segmento; não estima retorno de imóvel individual).
IC95(R) = [0.00044, 0.00072] | half = 0.281
Observações utilizadas: n_ai (Airbnb com preço) = 78, n_vi_total = 21, n_vi_com_sale_price = 21 (usados na estimativa).
Cobertura do Price no segmento: 67.2% (métrica de representatividade; seleção de Price é limitação).
Dominância contra outros segmentos (Δ com FDR controlado, Δ_min = 25%): domina 8 segmento(s) — centro|apartamento|3; centro|apartamento|4+; meia praia|apartamento|3; meia praia|apartamento|4+; meia praia|casa|3
Limitações: preço anunciado (não receita/ocupação); janela jan–abr/2025; junção Airbnb×VivaReal agregada; sem correspondência individual."
centro | apartamento | 2,"Segmento: centro|apartamento|2 (nível avaliado: bairro×tipo×quartos)
Status: prioritaria
R = 0.00053 — razão entre a mediana da diária anunciada no Airbnb e a mediana dos preços de venda observados no VivaReal para o mesmo segmento (indicador COMPARATIVO de segmento; não estima retorno de imóvel individual).
IC95(R) = [0.00039, 0.00064] | half = 0.238
Observações utilizadas: n_ai (Airbnb com preço) = 65, n_vi_total = 86, n_vi_com_sale_price = 86 (usados na estimativa).
Cobertura do Price no segmento: 35.5% (métrica de representatividade; seleção de Price é limitação).
Dominância contra outros segmentos (Δ com FDR controlado, Δ_min = 25%): domina 7 segmento(s) — centro|apartamento|3; centro|apartamento|4+; meia praia|apartamento|3; meia praia|apartamento|4+; meia praia|outros|1
Limitações: preço anunciado (não receita/ocupação); janela jan–abr/2025; junção Airbnb×VivaReal agregada; sem correspondência individual."
morretes | apartamento | 2,"Segmento: morretes|apartamento|2 (nível avaliado: bairro×tipo×quartos)
Status: prioritaria
R = 0.00060 — razão entre a mediana da diária anunciada no Airbnb e a mediana dos preços de venda observados no VivaReal para o mesmo segmento (indicador COMPARATIVO de segmento; não estima retorno de imóvel individual).
IC95(R) = [0.00051, 0.00070] | half = 0.159
Observações utilizadas: n_ai (Airbnb com preço) = 51, n_vi_total = 999, n_vi_com_sale_price = 999 (usados na estimativa).
Cobertura do Price no segmento: 22.3% (métrica de representatividade; seleção de Price é limitação).
Dominância contra outros segmentos (Δ com FDR controlado, Δ_min = 25%): domina 9 segmento(s) — centro|apartamento|3; centro|apartamento|4+; meia praia|apartamento|2; meia praia|apartamento|3; meia praia|apartamento|4+
Limitações: preço anunciado (não receita/ocupação); janela jan–abr/2025; junção Airbnb×VivaReal agregada; sem correspondência individual."
morretes | apartamento | 3,"Segmento: morretes|apartamento|3 (nível avaliado: bairro×tipo×quartos)
Status: prioritaria
R = 0.00077 — razão entre a mediana da diária anunciada no Airbnb e a mediana dos preços de venda observados no VivaReal para o mesmo segmento (indicador COMPARATIVO de segmento; não estima retorno de imóvel individual).
IC95(R) = [0.00057, 0.00118] | half = 0.397
Observações utilizadas: n_ai (Airbnb com preço) = 10, n_vi_total = 141, n_vi_com_sale_price = 141 (usados na estimativa).
Cobertura do Price no segmento: 16.9% (métrica de representatividade; seleção de Price é limitação).
Dominância contra outros segmentos (Δ com FDR controlado, Δ_min = 25%): domina 10 segmento(s) — centro|apartamento|3; centro|apartamento|4+; meia praia|apartamento|1; meia praia|apartamento|2; meia praia|apartamento|3
Limitações: preço anunciado (não receita/ocupação); janela jan–abr/2025; junção Airbnb×VivaReal agregada; sem correspondência individual."
tabuleiro dos oliveiras | apartamento | 2,"Segmento: tabuleiro dos oliveiras|apartamento|2 (nível avaliado: bairro×tipo×quartos)
Status: prioritaria
R = 0.00058 — razão entre a mediana da diária anunciada no Airbnb e a mediana dos preços de venda observados no VivaReal para o mesmo segmento (indicador COMPARATIVO de segmento; não estima retorno de imóvel individual).
IC95(R) = [0.00044, 0.00087] | half = 0.370
Observações utilizadas: n_ai (Airbnb com preço) = 12, n_vi_total = 108, n_vi_com_sale_price = 108 (usados na estimativa).
Cobertura do Price no segmento: 16.2% (métrica de representatividade; seleção de Price é limitação).
Dominância contra outros segmentos (Δ com FDR controlado, Δ_min = 25%): domina 8 segmento(s) — centro|apartamento|3; centro|apartamento|4+; meia praia|apartamento|3; meia praia|apartamento|4+; meia praia|casa|3
Limitações: preço anunciado (não receita/ocupação); janela jan–abr/2025; junção Airbnb×VivaReal agregada; sem correspondência individual."
morretes | casa | 1,"Segmento: morretes|casa|(todos quartos) (nível avaliado: bairro×tipo)
Status: prioritaria
R = 0.00057 — razão entre a mediana da diária anunciada no Airbnb e a mediana dos preços de venda observados no VivaReal para o mesmo segmento (indicador COMPARATIVO de segmento; não estima retorno de imóvel individual).
IC95(R) = [0.00048, 0.00099] | half = 0.446
Observações utilizadas: n_ai (Airbnb com preço) = 14, n_vi_total = 358, n_vi_com_sale_price = 358 (usados na estimativa).
Cobertura do Price no segmento: 14.1% (métrica de representatividade; seleção de Price é limitação).
Dominância contra outros segmentos (Δ com FDR controlado, Δ_min = 25%): domina 9 segmento(s) — centro|apartamento|3; centro|apartamento|4+; meia praia|apartamento|2; meia praia|apartamento|3; meia praia|apartamento|4+
Limitações: preço anunciado (não receita/ocupação); janela jan–abr/2025; junção Airbnb×VivaReal agregada; sem correspondência individual."
centro | apartamento | 3,"Segmento: centro|apartamento|3 (nível avaliado: bairro×tipo×quartos)
Status: nao_prioritaria
R = 0.00037 — razão entre a mediana da diária anunciada no Airbnb e a mediana dos preços de venda observados no VivaReal para o mesmo segmento (indicador COMPARATIVO de segmento; não estima retorno de imóvel individual).
IC95(R) = [0.00030, 0.00040] | half = 0.134
Observações utilizadas: n_ai (Airbnb com preço) = 45, n_vi_total = 420, n_vi_com_sale_price = 420 (usados na estimativa).
Cobertura do Price no segmento: 21.3% (métrica de representatividade; seleção de Price é limitação).
Dominância contra outros segmentos (Δ com FDR controlado, Δ_min = 25%): domina 11 segmento(s) — (casa branca|apartamento|2) continua dominante; (centro|apartamento|1) continua dominante; (centro|apartamento|2) continua dominante; centro|apartamento|4+; (meia praia|apartamento|1) continua dominante
Limitações: preço anunciado (não receita/ocupação); janela jan–abr/2025; junção Airbnb×VivaReal agregada; sem correspondência individual."
centro | apartamento | 4+,"Segmento: centro|apartamento|4+ (nível avaliado: bairro×tipo×quartos)
Status: nao_prioritaria
R = 0.00021 — razão entre a mediana da diária anunciada no Airbnb e a mediana dos preços de venda observados no VivaReal para o mesmo segmento (indicador COMPARATIVO de segmento; não estima retorno de imóvel individual).
IC95(R) = [0.00012, 0.00029] | half = 0.404
Observações utilizadas: n_ai (Airbnb com preço) = 5, n_vi_total = 362, n_vi_com_sale_price = 362 (usados na estimativa).
Cobertura do Price no segmento: 13.9% (métrica de representatividade; seleção de Price é limitação).
Dominância contra outros segmentos (Δ com FDR controlado, Δ_min = 25%): domina 13 segmento(s) — (casa branca|apartamento|2) continua dominante; (centro|apartamento|1) continua dominante; (centro|apartamento|2) continua dominante; (centro|apartamento|3) continua dominante; (meia praia|apartamento|1) continua dominante
Limitações: preço anunciado (não receita/ocupação); janela jan–abr/2025; junção Airbnb×VivaReal agregada; sem correspondência individual."
meia praia | apartamento | 1,"Segmento: meia praia|apartamento|1 (nível avaliado: bairro×tipo×quartos)
Status: nao_prioritaria
R = 0.00050 — razão entre a mediana da diária anunciada no Airbnb e a mediana dos preços de venda observados no VivaReal para o mesmo segmento (indicador COMPARATIVO de segmento; não estima retorno de imóvel individual).
IC95(R) = [0.00041, 0.00059] | half = 0.179
Observações utilizadas: n_ai (Airbnb com preço) = 20, n_vi_total = 57, n_vi_com_sale_price = 57 (usados na estimativa).
Cobertura do Price no segmento: 24.7% (métrica de representatividade; seleção de Price é limitação).
Dominância contra outros segmentos (Δ com FDR controlado, Δ_min = 25%): domina 8 segmento(s) — centro|apartamento|3; centro|apartamento|4+; meia praia|apartamento|3; meia praia|apartamento|4+; (morretes|apartamento|3) continua dominante
Limitações: preço anunciado (não receita/ocupação); janela jan–abr/2025; junção Airbnb×VivaReal agregada; sem correspondência individual."
meia praia | apartamento | 2,"Segmento: meia praia|apartamento|2 (nível avaliado: bairro×tipo×quartos)
Status: nao_prioritaria
R = 0.00041 — razão entre a mediana da diária anunciada no Airbnb e a mediana dos preços de venda observados no VivaReal para o mesmo segmento (indicador COMPARATIVO de segmento; não estima retorno de imóvel individual).
IC95(R) = [0.00039, 0.00048] | half = 0.103
Observações utilizadas: n_ai (Airbnb com preço) = 187, n_vi_total = 241, n_vi_com_sale_price = 241 (usados na estimativa).
Cobertura do Price no segmento: 25.9% (métrica de representatividade; seleção de Price é limitação).
Dominância contra outros segmentos (Δ com FDR controlado, Δ_min = 25%): domina 6 segmento(s) — centro|apartamento|4+; (morretes|apartamento|2) continua dominante; (morretes|apartamento|3) continua dominante; meia praia|outros|1; ilhota|apartamento|1
Limitações: preço anunciado (não receita/ocupação); janela jan–abr/2025; junção Airbnb×VivaReal agregada; sem correspondência individual."
meia praia | apartamento | 3,"Segmento: meia praia|apartamento|3 (nível avaliado: bairro×tipo×quartos)
Status: nao_prioritaria
R = 0.00036 — razão entre a mediana da diária anunciada no Airbnb e a mediana dos preços de venda observados no VivaReal para o mesmo segmento (indicador COMPARATIVO de segmento; não estima retorno de imóvel individual).
IC95(R) = [0.00034, 0.00038] | half = 0.048
Observações utilizadas: n_ai (Airbnb com preço) = 327, n_vi_total = 1638, n_vi_com_sale_price = 1638 (usados na estimativa).
Cobertura do Price no segmento: 22.5% (métrica de representatividade; seleção de Price é limitação).
Dominância contra outros segmentos (Δ com FDR controlado, Δ_min = 25%): domina 11 segmento(s) — (casa branca|apartamento|2) continua dominante; (centro|apartamento|1) continua dominante; (centro|apartamento|2) continua dominante; centro|apartamento|4+; (meia praia|apartamento|1) continua dominante
Limitações: preço anunciado (não receita/ocupação); janela jan–abr/2025; junção Airbnb×VivaReal agregada; sem correspondência individual."
meia praia | apartamento | 4+,"Segmento: meia praia|apartamento|4+ (nível avaliado: bairro×tipo×quartos)
Status: nao_prioritaria
R = 0.00034 — razão entre a mediana da diária anunciada no Airbnb e a mediana dos preços de venda observados no VivaReal para o mesmo segmento (indicador COMPARATIVO de segmento; não estima retorno de imóvel individual).
IC95(R) = [0.00025, 0.00043] | half = 0.255
Observações utilizadas: n_ai (Airbnb com preço) = 65, n_vi_total = 1266, n_vi_com_sale_price = 1266 (usados na estimativa).
Cobertura do Price no segmento: 20.4% (métrica de representatividade; seleção de Price é limitação).
Dominância contra outros segmentos (Δ com FDR controlado, Δ_min = 25%): domina 11 segmento(s) — (casa branca|apartamento|2) continua dominante; (centro|apartamento|1) continua dominante; (centro|apartamento|2) continua dominante; centro|apartamento|4+; (meia praia|apartamento|1) continua dominante
Limitações: preço anunciado (não receita/ocupação); janela jan–abr/2025; junção Airbnb×VivaReal agregada; sem correspondência individual."
meia praia | casa | 3,"Segmento: meia praia|casa|3 (nível avaliado: bairro×tipo×quartos)
Status: nao_prioritaria
R = 0.00025 — razão entre a mediana da diária anunciada no Airbnb e a mediana dos preços de venda observados no VivaReal para o mesmo segmento (indicador COMPARATIVO de segmento; não estima retorno de imóvel individual).
IC95(R) = [0.00017, 0.00046] | half = 0.572
Observações utilizadas: n_ai (Airbnb com preço) = 5, n_vi_total = 11, n_vi_com_sale_price = 11 (usados na estimativa).
Cobertura do Price no segmento: 11.1% (métrica de representatividade; seleção de Price é limitação).
Dominância contra outros segmentos (Δ com FDR controlado, Δ_min = 25%): domina 7 segmento(s) — (casa branca|apartamento|2) continua dominante; (centro|apartamento|1) continua dominante; (morretes|apartamento|2) continua dominante; (morretes|apartamento|3) continua dominante; (tabuleiro dos oliveiras|apartamento|2) continua dominante
Limitações: preço anunciado (não receita/ocupação); janela jan–abr/2025; junção Airbnb×VivaReal agregada; sem correspondência individual."
meia praia | outros | 1,"Segmento: meia praia|outros|(todos quartos) (nível avaliado: bairro×tipo)
Status: nao_prioritaria
R = 0.00008 — razão entre a mediana da diária anunciada no Airbnb e a mediana dos preços de venda observados no VivaReal para o mesmo segmento (indicador COMPARATIVO de segmento; não estima retorno de imóvel individual).
IC95(R) = [0.00006, 0.00014] | half = 0.515
Observações utilizadas: n_ai (Airbnb com preço) = 13, n_vi_total = 32, n_vi_com_sale_price = 32 (usados na estimativa).
Cobertura do Price no segmento: 7.7% (métrica de representatividade; seleção de Price é limitação).
Dominância contra outros segmentos (Δ com FDR controlado, Δ_min = 25%): domina 15 segmento(s) — (casa branca|apartamento|2) continua dominante; (centro|apartamento|1) continua dominante; (centro|apartamento|2) continua dominante; (centro|apartamento|3) continua dominante; (centro|apartamento|4+) continua dominante
Limitações: preço anunciado (não receita/ocupação); janela jan–abr/2025; junção Airbnb×VivaReal agregada; sem correspondência individual."
ilhota | apartamento | 1,"Segmento: ilhota|apartamento|(todos quartos) (nível avaliado: bairro×tipo)
Status: nao_prioritaria
R = 0.00018 — razão entre a mediana da diária anunciada no Airbnb e a mediana dos preços de venda observados no VivaReal para o mesmo segmento (indicador COMPARATIVO de segmento; não estima retorno de imóvel individual).
IC95(R) = [0.00009, 0.00026] | half = 0.469
Observações utilizadas: n_ai (Airbnb com preço) = 5, n_vi_total = 14, n_vi_com_sale_price = 14 (usados na estimativa).
Cobertura do Price no segmento: 22.7% (métrica de representatividade; seleção de Price é limitação).
Dominância contra outros segmentos (Δ com FDR controlado, Δ_min = 25%): domina 12 segmento(s) — (casa branca|apartamento|2) continua dominante; (centro|apartamento|1) continua dominante; (centro|apartamento|2) continua dominante; (centro|apartamento|3) continua dominante; (meia praia|apartamento|1) continua dominante
Limitações: preço anunciado (não receita/ocupação); janela jan–abr/2025; junção Airbnb×VivaReal agregada; sem correspondência individual."
canto da praia | apartamento | 1,"Segmento: canto da praia|apartamento|(todos quartos) (nível avaliado: bairro×tipo)
Status: nao_prioritaria
R = 0.00030 — razão entre a mediana da diária anunciada no Airbnb e a mediana dos preços de venda observados no VivaReal para o mesmo segmento (indicador COMPARATIVO de segmento; não estima retorno de imóvel individual).
IC95(R) = [0.00018, 0.00042] | half = 0.399
Observações utilizadas: n_ai (Airbnb com preço) = 5, n_vi_total = 93, n_vi_com_sale_price = 93 (usados na estimativa).
Cobertura do Price no segmento: 55.6% (métrica de representatividade; seleção de Price é limitação).
Dominância contra outros segmentos (Δ com FDR controlado, Δ_min = 25%): domina 9 segmento(s) — (casa branca|apartamento|2) continua dominante; (centro|apartamento|1) continua dominante; (centro|apartamento|2) continua dominante; (meia praia|apartamento|1) continua dominante; (morretes|apartamento|2) continua dominante
Limitações: preço anunciado (não receita/ocupação); janela jan–abr/2025; junção Airbnb×VivaReal agregada; sem correspondência individual."
